"air_temperature","sea_temperature","station"
5.723,9.071,M2
6.162,9.069,M2
6.162,9.067,M2
4.648,9.073,M2
5.625,9.099,M2
5.234,9.077,M2
4.893,9.067,M2
4.844,9.051,M2
4.697,9.045,M2
4.502,9.047,M2
4.6,9.036,M2
4.746,9.044,M2
4.551,9.051,M2
4.893,9.053,M2
4.99,9.069,M2
5.186,9.082,M2
5.332,9.097,M2
5.43,9.111,M2
5.527,9.137,M2
6.016,9.097,M2
6.162,9.12,M2
6.699,9.055,M2
7.041,9.036,M2
7.09,9.042,M2
7.139,9.062,M2
5.527,9.056,M2
4.795,9.071,M2
3.77,9.049,M2
4.844,9.045,M2
5.576,9.078,M2
6.016,9.073,M2
5.967,9.029,M2
5.967,9.036,M2
5.625,8.994,M2
5.43,9.022,M2
5.674,9.058,M2
5.625,9.075,M2
5.576,9.071,M2
5.576,9.082,M2
5.576,9.131,M2
5.967,9.179,M2
6.26,9.152,M2
6.357,9.144,M2
5.332,9.073,M2
4.99,9.029,M2
5.674,8.969,M2
6.26,9.003,M2
6.797,9.022,M2
7.188,9.06,M2
7.041,9.053,M2
6.992,9.029,M2
6.846,9.033,M2
6.748,9.066,M2
6.748,9.044,M2
6.846,9.022,M2
6.748,8.959,M2
5.918,8.919,M2
6.65,8.93,M2
6.943,8.987,M2
6.992,9.025,M2
6.65,9.069,M2
6.748,9.069,M2
6.943,9.095,M2
6.748,9.139,M2
6.504,9.177,M2
6.455,9.221,M2
6.65,9.183,M2
6.846,9.115,M2
6.943,9.009,M2
7.041,8.961,M2
6.992,8.967,M2
7.188,9.016,M2
7.139,9.036,M2
7.188,9.058,M2
7.285,9.02,M2
7.285,9.029,M2
7.285,9.033,M2
7.041,9.036,M2
6.895,9.025,M2
6.895,8.976,M2
6.943,8.904,M2
6.65,8.912,M2
6.65,8.961,M2
6.748,9.042,M2
6.699,9.089,M2
6.748,9.104,M2
7.09,9.15,M2
7.627,9.175,M2
8.359,9.197,M2
8.164,9.276,M2
8.164,9.186,M2
8.311,9.12,M2
8.652,9.108,M2
9.141,9.029,M2
10.068,9.049,M2
9.238,9.082,M2
9.141,9.088,M2
8.945,9.058,M2
9.141,9.093,M2
9.531,9.088,M2
9.775,9.086,M2
10.215,9.082,M2
10.117,9.064,M2
10.117,9.075,M2
10.117,9.082,M2
10.068,9.077,M2
10.264,9.075,M2
10.459,9.108,M2
10.605,9.095,M2
10.801,9.111,M2
10.947,9.148,M2
11.045,9.155,M2
11.143,9.185,M2
11.143,9.186,M2
11.24,9.139,M2
10.947,9.148,M2
10.752,9.161,M2
10.508,9.124,M2
10.361,9.075,M2
10.361,9.111,M2
10.361,9.124,M2
10.166,9.088,M2
10.264,9.086,M2
10.02,9.109,M2
10.02,9.113,M2
10.02,9.099,M2
10.068,9.077,M2
9.678,9.075,M2
9.58,9.12,M2
9.678,9.1,M2
9.629,9.058,M2
9.287,9.069,M2
9.678,9.133,M2
9.922,9.097,M2
9.629,9.113,M2
10.068,9.128,M2
10.508,9.15,M2
10.459,9.148,M2
10.557,9.119,M2
10.313,9.095,M2
10.508,9.12,M2
10.41,9.15,M2
10.264,9.122,M2
10.215,9.093,M2
10.361,9.131,M2
10.459,9.088,M2
10.264,9.073,M2
10.215,9.093,M2
9.727,9.104,M2
9.287,9.102,M2
9.141,9.084,M2
9.189,9.06,M2
8.799,9.086,M2
8.311,9.111,M2
8.604,9.095,M2
8.604,9.084,M2
8.945,9.131,M2
9.385,9.128,M2
9.385,9.108,M2
8.75,9.137,M2
9.434,9.179,M2
9.971,9.174,M2
10.117,9.148,M2
8.945,9.113,M2
9.092,9.119,M2
8.799,9.141,M2
9.043,9.128,M2
8.75,9.102,M2
8.652,9.122,M2
8.506,9.104,M2
8.457,9.088,M2
8.262,9.066,M2
7.969,9.078,M2
8.066,9.075,M2
7.529,9.066,M2
7.383,9.062,M2
7.285,9.082,M2
7.676,9.093,M2
7.725,9.036,M2
7.676,8.998,M2
7.48,8.983,M2
6.357,9.022,M2
7.188,9.104,M2
7.92,9.097,M2
8.213,9.097,M2
8.408,9.111,M2
8.652,9.128,M2
9.385,9.113,M2
9.385,9.108,M2
9.092,9.089,M2
8.896,9.02,M2
8.604,8.996,M2
8.311,8.972,M2
7.871,8.97,M2
7.188,9.014,M2
6.943,9.075,M2
6.846,9.053,M2
6.553,9.064,M2
6.748,9.062,M2
6.553,9.051,M2
6.553,9.049,M2
6.455,9.06,M2
6.553,9.082,M2
6.504,9.066,M2
6.553,9.005,M2
6.553,9.075,M2
6.748,9.126,M2
7.041,9.128,M2
6.797,9.086,M2
6.406,9.097,M2
6.748,9.108,M2
7.285,9.102,M2
7.09,9.095,M2
7.188,9.075,M2
7.48,9.069,M2
7.236,9.062,M2
6.992,9.067,M2
6.846,9.064,M2
6.455,9.049,M2
6.162,9.051,M2
5.869,9.042,M2
5.918,9.055,M2
5.527,9.071,M2
5.332,9.077,M2
5.479,9.082,M2
5.527,9.047,M2
5.381,9.051,M2
5.43,9.053,M2
5.869,9.064,M2
6.113,9.093,M2
6.602,9.137,M2
6.895,9.19,M2
7.334,9.265,M2
8.115,9.298,M2
8.604,9.543,M2
7.871,9.448,M2
7.822,9.357,M2
7.822,9.357,M2
7.773,9.163,M2
7.969,9.197,M2
8.066,9.223,M2
8.164,9.164,M2
7.969,9.166,M2
7.871,9.099,M2
7.676,9.15,M2
7.578,9.164,M2
7.773,9.142,M2
7.773,9.064,M2
7.676,9.088,M2
7.578,9.088,M2
7.432,9.053,M2
7.48,9.086,M2
7.725,9.117,M2
7.822,9.133,M2
8.262,9.144,M2
8.457,9.168,M2
8.555,9.161,M2
8.75,9.128,M2
8.994,9.126,M2
9.189,9.146,M2
9.385,9.137,M2
9.043,9.111,M2
9.189,9.111,M2
9.434,9.099,M2
9.629,9.077,M2
9.775,9.084,M2
9.775,9.078,M2
9.775,9.075,M2
9.531,9.064,M2
9.482,9.066,M2
9.629,9.086,M2
9.824,9.108,M2
9.336,9.124,M2
9.189,9.099,M2
9.043,9.109,M2
9.092,9.126,M2
9.141,9.142,M2
9.58,9.146,M2
9.775,9.141,M2
10.068,9.119,M2
9.824,9.13,M2
10.02,9.197,M2
10.02,9.19,M2
10.02,9.175,M2
10.166,9.197,M2
10.215,9.201,M2
10.166,9.192,M2
10.947,9.201,M2
10.605,9.163,M2
10.752,9.159,M2
10.654,9.131,M2
10.068,9.097,M2
9.824,9.095,M2
9.482,9.099,M2
9.775,9.128,M2
9.531,9.142,M2
9.092,9.168,M2
8.75,9.166,M2
8.604,9.161,M2
8.555,9.155,M2
8.604,9.148,M2
8.701,9.137,M2
8.799,9.117,M2
8.994,9.161,M2
9.092,9.179,M2
8.994,9.216,M2
8.848,9.197,M2
8.555,9.207,M2
8.555,9.196,M2
8.896,9.181,M2
8.848,9.183,M2
9.141,9.188,M2
9.189,9.17,M2
9.141,9.122,M2
9.189,9.131,M2
9.092,9.12,M2
9.141,9.119,M2
9.287,9.113,M2
9.336,9.139,M2
9.58,9.148,M2
9.629,9.168,M2
9.678,9.208,M2
9.971,9.331,M2
10.459,9.43,M2
10.508,9.617,M2
