"temperature","feels_like","humidity","time","location"
26.0,26.93,60.0,"2021-01-01 18:15:00",Fernanda's Room
21.0,20.64,57.0,"2021-01-01 18:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 18:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 18:30:00",Guest Room
25.0,25.12,60.0,"2021-01-01 18:30:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 18:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 18:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 18:45:00",Guest Room
25.0,25.15,61.0,"2021-01-01 18:45:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 19:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 19:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 19:00:00",Guest Room
25.0,25.17,62.0,"2021-01-01 19:00:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 19:15:00",Master Room
20.0,18.53,18.0,"2021-01-01 19:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 19:15:00",Guest Room
25.0,25.2,63.0,"2021-01-01 19:15:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 19:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 19:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 19:30:00",Guest Room
25.0,25.2,63.0,"2021-01-01 19:30:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 19:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 19:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 19:45:00",Guest Room
25.0,25.2,63.0,"2021-01-01 19:45:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 20:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 20:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 20:00:00",Guest Room
25.0,25.15,61.0,"2021-01-01 20:00:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 20:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 20:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 20:15:00",Guest Room
25.0,25.1,59.0,"2021-01-01 20:15:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 20:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 20:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 20:30:00",Guest Room
25.0,25.1,59.0,"2021-01-01 20:30:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 20:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 20:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 20:45:00",Guest Room
25.0,25.1,59.0,"2021-01-01 20:45:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 21:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 21:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 21:00:00",Guest Room
25.0,25.1,59.0,"2021-01-01 21:00:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 21:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 21:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 21:15:00",Guest Room
24.0,24.02,60.0,"2021-01-01 21:15:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 21:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 21:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 21:30:00",Guest Room
24.0,24.02,60.0,"2021-01-01 21:30:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 21:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 21:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 21:45:00",Guest Room
24.0,24.05,61.0,"2021-01-01 21:45:00",Fernanda's Room
20.0,19.41,52.0,"2021-01-01 22:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 22:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 22:00:00",Guest Room
24.0,24.05,61.0,"2021-01-01 22:00:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 22:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 22:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 22:15:00",Guest Room
23.0,22.95,61.0,"2021-01-01 22:15:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 22:30:00",Master Room
20.0,18.53,18.0,"2021-01-01 22:30:00",Kids Room
21.0,19.6,17.0,"2021-01-01 22:30:00",Guest Room
23.0,22.97,62.0,"2021-01-01 22:30:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 22:45:00",Master Room
20.0,18.53,18.0,"2021-01-01 22:45:00",Kids Room
21.0,19.6,17.0,"2021-01-01 22:45:00",Guest Room
23.0,22.95,61.0,"2021-01-01 22:45:00",Fernanda's Room
20.0,19.47,54.0,"2021-01-01 23:00:00",Master Room
20.0,18.53,18.0,"2021-01-01 23:00:00",Kids Room
21.0,19.6,17.0,"2021-01-01 23:00:00",Guest Room
23.0,22.97,62.0,"2021-01-01 23:00:00",Fernanda's Room
20.0,19.44,53.0,"2021-01-01 23:15:00",Master Room
20.0,18.53,18.0,"2021-01-01 23:15:00",Kids Room
21.0,19.6,17.0,"2021-01-01 23:15:00",Guest Room
23.0,22.97,62.0,"2021-01-01 23:15:00",Fernanda's Room
20.0,19.41,52.0,"2021-01-01 23:30:00",Master Room
20.0,18.53,18.0,"2021-01-01 23:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 23:30:00",Guest Room
23.0,22.97,62.0,"2021-01-01 23:30:00",Fernanda's Room
20.0,19.41,52.0,"2021-01-01 23:45:00",Master Room
20.0,18.53,18.0,"2021-01-01 23:45:00",Kids Room
21.0,19.6,17.0,"2021-01-01 23:45:00",Guest Room
22.0,21.87,62.0,"2021-01-01 23:45:00",Fernanda's Room
20.0,19.41,52.0,"2021-01-02 00:00:00",Master Room
20.0,18.53,18.0,"2021-01-02 00:00:00",Kids Room
21.0,19.6,17.0,"2021-01-02 00:00:00",Guest Room
22.0,21.9,63.0,"2021-01-02 00:00:00",Fernanda's Room
20.0,19.39,51.0,"2021-01-02 00:15:00",Master Room
20.0,18.53,18.0,"2021-01-02 00:15:00",Kids Room
21.0,19.6,17.0,"2021-01-02 00:15:00",Guest Room
22.0,21.93,64.0,"2021-01-02 00:15:00",Fernanda's Room
19.0,18.29,51.0,"2021-01-02 00:30:00",Master Room
20.0,18.53,18.0,"2021-01-02 00:30:00",Kids Room
